Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
124.67383	0.24893083	-0.005596259	0.076551788	0.14750731	1.5951755	1.84410633	0.143720282	5.03445733
125.67383	0.25153151	-0.005504334	0.077354193	0.14920405	1.6013955	1.85292701	0.145221785	5.05571801
126.67383	0.25010228	-0.005394026	0.078144878	0.15089573	1.6074218	1.85752408	0.144396619	5.07236768
127.67383	0.25168508	-0.005379131	0.078874998	0.15237087	1.6122631	1.86394818	0.145310449	5.08847438
128.67383	0.24998151	-0.005591034	0.079631843	0.15367267	1.6158503	1.86583181	0.144326892	5.09753241
129.67383	0.25067469	-0.00571634	0.080414176	0.15511201	1.6219643	1.87263899	0.1447271	5.11656759
130.67383	0.25539383	-0.005661383	0.081154689	0.156648	1.625886	1.88127983	0.147451696	5.13305183
131.67383	0.24816012	-0.005903672	0.081869423	0.15783517	1.6293967	1.87755682	0.143275312	5.13635022
132.67383	0.23844254	-0.005699985	0.082711361	0.15972275	1.6333088	1.87175134	0.137664865	5.13836894
133.67383	0.23014018	-0.005980496	0.083437167	0.16089383	1.6416465	1.87178668	0.132871495	5.15507968
134.67383	0.25221887	-0.006051557	0.08419735	0.16234313	1.6442635	1.89648237	0.145618632	5.18500937
135.67383	0.24519584	-0.005832877	0.08504872	0.16426457	1.6524966	1.89769244	0.141563884	5.20268564
136.67383	0.23882462	-0.005921031	0.085787997	0.16565496	1.6567187	1.89554332	0.137885459	5.20898072
137.67383	0.24183759	-0.005934165	0.086550377	0.16716658	1.6608201	1.90265769	0.139624998	5.22429789
138.67383	0.24549928	-0.006248524	0.087313481	0.16837844	1.6684343	1.91393358	0.141739075	5.25080218
139.67383	0.22719488	-0.006036723	0.088075154	0.17011358	1.6728034	1.89999828	0.131171025	5.24560508
140.67383	0.24728996	-0.006152932	0.08885508	0.17155723	1.67686	1.92414996	0.142772925	5.27786996
141.67383	0.24425381	-0.005934964	0.089552745	0.17317052	1.6809316	1.92518541	0.141020003	5.28704861
142.67383	0.24764673	-0.006296495	0.090359814	0.17442313	1.6877756	1.93542233	0.142978906	5.31097353
143.67383	0.24175426	-0.00610006	0.091160923	0.1762218	1.6922694	1.93402366	0.139576887	5.31856246
144.67383	0.22256446	-0.006085472	0.09199927	0.17791307	1.6942065	1.91677096	0.128497651	5.30518396
145.67383	0.23533313	-0.006206742	0.092717312	0.17922789	1.702008	1.93734113	0.135869646	5.34135713
146.67383	0.23885459	-0.006216126	0.093570881	0.18092564	1.7046815	1.94353609	0.137902762	5.35289909
147.67383	0.24016093	-0.00608246	0.094247878	0.18241329	1.7115296	1.95169053	0.138656978	5.37474973
148.67383	0.22641739	-0.006368908	0.094969109	0.18356931	1.717196	1.94361339	0.130722141	5.37800539
149.67383	0.23662753	-0.006514216	0.095730819	0.18494743	1.7198461	1.95647363	0.136616968	5.39616583
150.67383	0.22316752	-0.006412411	0.096473783	0.18653515	1.7217506	1.94491812	0.128845828	5.38841932
151.67383	0.23544082	-0.006395835	0.097242311	0.18808879	1.7308205	1.96626132	0.135931821	5.42790232
152.67383	0.23512338	-0.006521674	0.097974077	0.18942647	1.7395707	1.97469408	0.135748547	5.45383548
153.67383	0.23583506	-0.006297682	0.098721847	0.191146	1.7399651	1.97580016	0.136159435	5.45573036
154.67383	0.23478253	-0.006390816	0.099525377	0.19265994	1.7484751	1.98325763	0.135551757	5.48020783
155.67383	0.23348159	-0.006543029	0.1002773	0.19401155	1.7513133	1.98479489	0.134800659	5.48742149
156.67383	0.22700173	-0.006603436	0.10102129	0.19543916	1.7562964	1.98329813	0.13105951	5.49589093
157.67383	0.22211403	-0.006641244	0.10179939	0.19695754	1.7613313	1.98344533	0.128237595	5.50610793
158.67383	0.22260192	-0.006667121	0.10255217	0.1984372	1.7618752	1.98447712	0.128519278	5.50822752
159.67383	0.21997498	-0.006642452	0.1031744	0.19970635	1.7706978	1.99067278	0.127002614	5.53206838
160.67383	0.22065765	-0.006822244	0.10399125	0.20116025	1.7770834	1.99774105	0.127396754	5.55190785
161.67383	0.21874522	-0.006607533	0.10463703	0.20266655	1.7814562	2.00020142	0.126292612	5.56311382
